City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
181,Naze,JP,75.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
185,Salalah,OM,86.0,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
186,Libreville,GA,84.2,few clouds,0.39,9.45,Hotel Re-Ndama
190,Kankon,IN,80.82,few clouds,15.02,74.02,Palolem Beach Resort
191,Teguise,ES,78.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
193,Sao Jose Da Coroa Grande,BR,82.99,clear sky,-8.9,-35.15,Crôa Mares Hotel
196,Angoche,MZ,84.11,clear sky,-16.23,39.91,Guest House HESADA
201,Bacolod,PH,79.45,overcast clouds,10.67,122.95,Planta Hotel & Residences
202,Cartagena Del Chaira,CO,81.03,overcast clouds,1.33,-74.84,HOTEL LA ROCA
208,Xapuri,BR,77.0,broken clouds,-10.65,-68.5,Restaurante Viana
215,Havelock,US,75.99,clear sky,34.88,-76.9,Sherwood Motel
220,Pontianak,ID,79.16,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
229,Asyut,EG,87.8,clear sky,27.18,31.18,Florence Hotel Assiut
230,Luanda,AO,82.4,scattered clouds,-8.84,13.23,EPIC SANA Luanda
231,Port Moresby,PG,78.8,broken clouds,-9.44,147.18,Lamana Hotel
243,San Cristobal,VE,77.0,fog,7.77,-72.22,Pirineos
244,Faya,SA,77.0,clear sky,18.39,42.45,مقبرة ال مجمل
256,Bathsheba,BB,78.8,shower rain,13.22,-59.52,Atlantis Hotel
262,Kavaratti,IN,83.26,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
263,Kudahuvadhoo,MV,82.87,clear sky,2.67,72.89,Kudahuvadhoo Retreat
264,Nabire,ID,77.79,light rain,-3.37,135.48,Hotel Nusantara Nabire
265,Nouadhibou,MR,80.6,clear sky,20.93,-17.03,El Medina
266,Sulangan,PH,83.84,light rain,11.14,123.72,Maia's Beach Resort
268,Beloha,MG,81.55,clear sky,-25.17,45.05,
272,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
273,Thaton,MM,76.37,moderate rain,16.92,97.37,တိုင်းရင်းဆေး ခရိုင်ဦးစီးဌာနမှူးရုံး
274,Teknaf,BD,81.34,overcast clouds,20.86,92.31,Magnum Engineering & Construction
277,Yei,SS,79.54,light rain,4.09,30.68,City Link Hotel
278,Matara,LK,80.26,clear sky,5.95,80.54,Amaloh Boutique Resort
280,Palauig,PH,81.32,overcast clouds,15.44,119.9,Myhousebythesea
281,Gat,IL,82.0,scattered clouds,31.61,34.76,OlusHome
283,Mtinko,TZ,81.9,overcast clouds,-4.55,34.85,
